Trainer ID,Trainer Class,Trainer Class Constant,Trainer Name,Area,Battle Type,Trainer Items,Party Slot,Potential Ace,Pokemon,Species Constant,Level,Held Item,IVs,Ability Slot,Move 1,Move 2,Move 3,Move 4,Moves Source,Sprite URL,Sheets Image Formula
253,Gym Leader,TRAINERCLASS_LEADER_BROCK,Kaseki,Palestra Roccia,Double Battle,Super Potion,3,yes,Shieldon,SPECIES_SHIELDON,17,Oran Berry,200,0,Protect,Iron Head,Ancient Power,Metal Burst,explicit trainer moves,https://img.pokemondb.net/sprites/home/normal/shieldon.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/shieldon.png"")"
256,Gym Leader,TRAINERCLASS_LEADER_ERIKA,Erika,Palestra Erba,Double Battle,Potion,1,yes,Carnivine,SPECIES_CARNIVINE,12,,200,0,Vine Whip,Bind,Growth,Sweet Scent,explicit trainer moves,https://img.pokemondb.net/sprites/home/normal/carnivine.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/carnivine.png"")"
256,Gym Leader,TRAINERCLASS_LEADER_ERIKA,Erika,Palestra Erba,Double Battle,Potion,2,yes,Carnivine,SPECIES_CARNIVINE,12,Oran Berry,200,0,Razor Leaf,Bite,Ingrain,Growth,explicit trainer moves,https://img.pokemondb.net/sprites/home/normal/carnivine.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/carnivine.png"")"
308,Camper,TRAINERCLASS_CAMPER,Jerry,Palestra Roccia,Double Battle,,1,,Geodude,SPECIES_GEODUDE,12,,0,0,Defense Curl,Rock Polish,Rollout,Bulldoze,learnset <= L12,https://img.pokemondb.net/sprites/home/normal/geodude.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/geodude.png"")"
308,Camper,TRAINERCLASS_CAMPER,Jerry,Palestra Roccia,Double Battle,,2,yes,Kabuto,SPECIES_KABUTO,14,,0,0,Absorb,Harden,Scratch,Sand Attack,learnset <= L14,https://img.pokemondb.net/sprites/home/normal/kabuto.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/kabuto.png"")"
346,Beauty,TRAINERCLASS_BEAUTY,Julia,Palestra Erba,Double Battle,,1,yes,Turtwig,SPECIES_TURTWIG,11,,0,0,Tackle,Withdraw,Absorb,,learnset <= L11,https://img.pokemondb.net/sprites/home/normal/turtwig.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/turtwig.png"")"
346,Beauty,TRAINERCLASS_BEAUTY,Julia,Palestra Erba,Double Battle,,2,,Spinarak,SPECIES_SPINARAK,8,,0,0,Poison Sting,String Shot,Absorb,Infestation,learnset <= L8,https://img.pokemondb.net/sprites/home/normal/spinarak.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/spinarak.png"")"
346,Beauty,TRAINERCLASS_BEAUTY,Julia,Palestra Erba,Double Battle,,3,,Spinarak,SPECIES_SPINARAK,8,,0,0,Poison Sting,String Shot,Absorb,Infestation,learnset <= L8,https://img.pokemondb.net/sprites/home/normal/spinarak.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/spinarak.png"")"
356,Lass,TRAINERCLASS_LASS,Michelle,Palestra Erba,Double Battle,,1,yes,Roselia,SPECIES_ROSELIA,9,,0,0,Poison Sting,Stun Spore,Worry Seed,Mega Drain,learnset <= L9,https://img.pokemondb.net/sprites/home/normal/roselia.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/roselia.png"")"
356,Lass,TRAINERCLASS_LASS,Michelle,Palestra Erba,Double Battle,,2,,Cottonee,SPECIES_COTTONEE,8,,0,0,Helping Hand,Absorb,Fairy Wind,Stun Spore,learnset <= L8,https://img.pokemondb.net/sprites/home/normal/cottonee.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/cottonee.png"")"
356,Lass,TRAINERCLASS_LASS,Michelle,Palestra Erba,Double Battle,,3,,Bonsly,SPECIES_BONSLY,7,,0,0,Fake Tears,Copycat,Flail,,learnset <= L7,https://img.pokemondb.net/sprites/home/normal/bonsly.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/bonsly.png"")"
356,Lass,TRAINERCLASS_LASS,Michelle,Palestra Erba,Double Battle,,4,,Combee,SPECIES_COMBEE,7,,0,0,Gust,Sweet Scent,Bug Bite,Struggle Bug,learnset <= L7,https://img.pokemondb.net/sprites/home/normal/combee.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/combee.png"")"
685,Hiker,TRAINERCLASS_HIKER,Edwin,Palestra Roccia,Double Battle,,1,,Baltoy,SPECIES_BALTOY,11,,0,0,Mud Slap,Rapid Spin,Confusion,Rock Tomb,learnset <= L11,https://img.pokemondb.net/sprites/home/normal/baltoy.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/baltoy.png"")"
685,Hiker,TRAINERCLASS_HIKER,Edwin,Palestra Roccia,Double Battle,,2,yes,Anorith,SPECIES_ANORITH,15,,0,0,Harden,Water Gun,Smack Down,Metal Claw,learnset <= L15,https://img.pokemondb.net/sprites/home/normal/anorith.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/anorith.png"")"
685,Hiker,TRAINERCLASS_HIKER,Edwin,Palestra Roccia,Double Battle,,3,,Sandshrew,SPECIES_SANDSHREW,11,,0,0,Defense Curl,Poison Sting,Sand Attack,Rollout,learnset <= L11,https://img.pokemondb.net/sprites/home/normal/sandshrew.png,"=IMAGE(""https://img.pokemondb.net/sprites/home/normal/sandshrew.png"")"
